"jurisdiction","date","cases.JHU","deaths.JHU","numconf","numprob","numdeaths","numtotal"
"Alberta",2019-12-31,0,0,0,0,0,0
"Alberta",2020-01-01,0,0,0,0,0,0
"Alberta",2020-01-02,0,0,0,0,0,0
"Alberta",2020-01-03,0,0,0,0,0,0
"Alberta",2020-01-04,0,0,0,0,0,0
"Alberta",2020-01-05,0,0,0,0,0,0
"Alberta",2020-01-06,0,0,0,0,0,0
"Alberta",2020-01-07,0,0,0,0,0,0
"Alberta",2020-01-08,0,0,0,0,0,0
"Alberta",2020-01-09,0,0,0,0,0,0
"Alberta",2020-01-10,0,0,0,0,0,0
"Alberta",2020-01-11,0,0,0,0,0,0
"Alberta",2020-01-12,0,0,0,0,0,0
"Alberta",2020-01-13,0,0,0,0,0,0
"Alberta",2020-01-14,0,0,0,0,0,0
"Alberta",2020-01-15,0,0,0,0,0,0
"Alberta",2020-01-16,0,0,0,0,0,0
"Alberta",2020-01-17,0,0,0,0,0,0
"Alberta",2020-01-18,0,0,0,0,0,0
"Alberta",2020-01-19,0,0,0,0,0,0
"Alberta",2020-01-20,0,0,0,0,0,0
"Alberta",2020-01-21,0,0,0,0,0,0
"Alberta",2020-01-22,0,0,0,0,0,0
"Alberta",2020-01-23,0,0,0,0,0,0
"Alberta",2020-01-24,0,0,0,0,0,0
"Alberta",2020-01-25,0,0,0,0,0,0
"Alberta",2020-01-26,0,0,0,0,0,0
"Alberta",2020-01-27,0,0,0,0,0,0
"Alberta",2020-01-28,0,0,0,0,0,0
"Alberta",2020-01-29,0,0,0,0,0,0
"Alberta",2020-01-30,0,0,0,0,0,0
"Alberta",2020-01-31,0,0,0,0,0,0
"Alberta",2020-02-01,0,0,0,0,0,0
"Alberta",2020-02-02,0,0,0,0,0,0
"Alberta",2020-02-03,0,0,0,0,0,0
"Alberta",2020-02-04,0,0,0,0,0,0
"Alberta",2020-02-05,0,0,0,0,0,0
"Alberta",2020-02-06,0,0,0,0,0,0
"Alberta",2020-02-07,0,0,0,0,0,0
"Alberta",2020-02-08,0,0,0,0,0,0
"Alberta",2020-02-09,0,0,0,0,0,0
"Alberta",2020-02-10,0,0,0,0,0,0
"Alberta",2020-02-11,0,0,0,0,0,0
"Alberta",2020-02-12,0,0,0,0,0,0
"Alberta",2020-02-13,0,0,0,0,0,0
"Alberta",2020-02-14,0,0,0,0,0,0
"Alberta",2020-02-15,0,0,0,0,0,0
"Alberta",2020-02-16,0,0,0,0,0,0
"Alberta",2020-02-17,0,0,0,0,0,0
"Alberta",2020-02-18,0,0,0,0,0,0
"Alberta",2020-02-19,0,0,0,0,0,0
"Alberta",2020-02-20,0,0,0,0,0,0
"Alberta",2020-02-21,0,0,0,0,0,0
"Alberta",2020-02-22,0,0,0,0,0,0
"Alberta",2020-02-23,0,0,0,0,0,0
"Alberta",2020-02-24,0,0,0,0,0,0
"Alberta",2020-02-25,0,0,0,0,0,0
"Alberta",2020-02-26,0,0,0,0,0,0
"Alberta",2020-02-27,0,0,0,0,0,0
"Alberta",2020-02-28,0,0,0,0,0,0
"Alberta",2020-02-29,0,0,0,0,0,0
"Alberta",2020-03-01,0,0,0,0,0,0
"Alberta",2020-03-02,0,0,0,0,0,0
"Alberta",2020-03-03,0,0,0,0,0,0
"Alberta",2020-03-04,0,0,0,0,0,0
"Alberta",2020-03-05,0,0,0,0,0,0
"Alberta",2020-03-06,1,0,0,0,0,0
"Alberta",2020-03-07,2,0,0,0,0,0
"Alberta",2020-03-08,4,0,1,0,0,1
"Alberta",2020-03-09,7,0,7,0,0,7
"Alberta",2020-03-10,7,0,7,0,0,7
"Alberta",2020-03-11,19,0,14,0,0,14
"Alberta",2020-03-12,19,0,19,0,0,19
"Alberta",2020-03-13,29,0,23,0,0,23
"Alberta",2020-03-14,29,0,29,0,0,29
"Alberta",2020-03-15,39,0,39,0,0,39
"Alberta",2020-03-16,56,0,56,0,0,56
"Alberta",2020-03-17,74,0,74,0,0,74
"Alberta",2020-03-18,97,0,97,0,0,97
"Alberta",2020-03-19,119,0,146,0,0,146
"Alberta",2020-03-20,146,1,195,0,1,195
"Alberta",2020-03-21,195,1,226,0,1,226
"Alberta",2020-03-22,259,1,259,0,1,259
"Alberta",2020-03-23,301,1,301,0,1,301
"Alberta",2020-03-24,359,1,358,0,2,358
"Alberta",2020-03-25,358,2,419,0,2,419
"Alberta",2020-03-26,486,2,486,0,2,486
"Alberta",2020-03-27,542,2,542,0,2,542
"Alberta",2020-03-28,542,2,542,0,2,542
"Alberta",2020-03-29,621,2,621,0,2,621
"Alberta",2020-03-30,661,3,690,0,8,690
"Alberta",2020-03-31,690,8,754,0,9,754
"Alberta",2020-04-01,754,9,754,0,9,754
"Alberta",2020-04-02,969,13,968,0,13,968
"Alberta",2020-04-03,969,13,1075,0,18,1075
"Alberta",2020-04-04,1075,18,1075,0,18,1075
"Alberta",2020-04-05,1181,20,1250,0,23,1250
"Alberta",2020-04-06,1250,23,1348,0,24,1348
"Alberta",2020-04-07,1373,24,1373,0,26,1373
"Alberta",2020-04-08,1373,26,1423,0,29,1423
"Alberta",2020-04-09,1423,29,1451,0,32,1451
"Alberta",2020-04-10,1451,32,1500,0,39,1500
"Alberta",2020-04-11,1567,40,1569,0,40,1569
"Alberta",2020-04-12,1567,40,1651,0,44,1651
"Alberta",2020-04-13,1732,46,1732,0,46,1732
"Alberta",2020-04-14,1870,48,1870,0,48,1870
"Alberta",2020-04-15,1870,48,1996,0,48,1996
"Alberta",2020-04-16,1996,48,2158,0,50,2158
"Alberta",2020-04-17,2397,50,2397,0,50,2397
"Alberta",2020-04-18,2562,51,2562,0,51,2562
"Alberta",2020-04-19,2803,51,2562,0,51,2562
"Alberta",2020-04-20,2908,59,2908,0,59,2908
"Alberta",2020-04-21,3095,61,3095,0,61,3095
"Alberta",2020-04-22,3401,66,3401,0,66,3401
"Alberta",2020-04-23,3720,68,3720,0,67,3720
"Alberta",2020-04-24,4017,72,4017,0,72,4017
"Alberta",2020-04-25,4233,73,4233,0,73,4233
"Alberta",2020-04-26,4480,73,4480,0,73,4480
"Alberta",2020-04-27,4696,75,4696,0,75,4696
"Alberta",2020-04-28,4850,80,4850,0,80,4850
"Alberta",2020-04-29,5165,87,5165,0,87,5165
"Alberta",2020-04-30,5355,90,5355,0,89,5355
"Alberta",2020-05-01,5573,92,5573,0,92,5573
"Alberta",2020-05-02,5670,94,5670,0,94,5670
"Alberta",2020-05-03,5766,95,5766,0,95,5766
"Alberta",2020-05-04,5836,104,5836,0,104,5836
"Alberta",2020-05-05,5893,106,5893,0,106,5893
"Alberta",2020-05-06,5963,112,5963,0,112,5963
"Alberta",2020-05-07,6017,114,6017,0,114,6017
"Alberta",2020-05-08,6098,115,6098,0,115,6098
"Alberta",2020-05-09,6157,116,6157,0,116,6157
"Alberta",2020-05-10,0,0,6253,0,117,6253
"British Columbia",2019-12-31,0,0,0,0,0,0
"British Columbia",2020-01-01,0,0,0,0,0,0
"British Columbia",2020-01-02,0,0,0,0,0,0
"British Columbia",2020-01-03,0,0,0,0,0,0
"British Columbia",2020-01-04,0,0,0,0,0,0
"British Columbia",2020-01-05,0,0,0,0,0,0
"British Columbia",2020-01-06,0,0,0,0,0,0
"British Columbia",2020-01-07,0,0,0,0,0,0
"British Columbia",2020-01-08,0,0,0,0,0,0
"British Columbia",2020-01-09,0,0,0,0,0,0
"British Columbia",2020-01-10,0,0,0,0,0,0
"British Columbia",2020-01-11,0,0,0,0,0,0
"British Columbia",2020-01-12,0,0,0,0,0,0
"British Columbia",2020-01-13,0,0,0,0,0,0
"British Columbia",2020-01-14,0,0,0,0,0,0
"British Columbia",2020-01-15,0,0,0,0,0,0
"British Columbia",2020-01-16,0,0,0,0,0,0
"British Columbia",2020-01-17,0,0,0,0,0,0
"British Columbia",2020-01-18,0,0,0,0,0,0
"British Columbia",2020-01-19,0,0,0,0,0,0
"British Columbia",2020-01-20,0,0,0,0,0,0
"British Columbia",2020-01-21,0,0,0,0,0,0
"British Columbia",2020-01-22,0,0,0,0,0,0
"British Columbia",2020-01-23,0,0,0,0,0,0
"British Columbia",2020-01-24,0,0,0,0,0,0
"British Columbia",2020-01-25,0,0,0,0,0,0
"British Columbia",2020-01-26,0,0,0,0,0,0
"British Columbia",2020-01-27,0,0,0,0,0,0
"British Columbia",2020-01-28,1,0,0,0,0,0
"British Columbia",2020-01-29,1,0,0,0,0,0
"British Columbia",2020-01-30,1,0,0,0,0,0
"British Columbia",2020-01-31,1,0,1,0,0,1
"British Columbia",2020-02-01,1,0,1,0,0,1
"British Columbia",2020-02-02,1,0,1,0,0,1
"British Columbia",2020-02-03,1,0,1,0,0,1
"British Columbia",2020-02-04,1,0,1,0,0,1
"British Columbia",2020-02-05,2,0,1,0,0,1
"British Columbia",2020-02-06,2,0,1,0,0,1
"British Columbia",2020-02-07,4,0,1,0,0,1
"British Columbia",2020-02-08,4,0,4,0,0,4
"British Columbia",2020-02-09,4,0,4,0,0,4
"British Columbia",2020-02-10,4,0,4,0,0,4
"British Columbia",2020-02-11,4,0,4,0,0,4
"British Columbia",2020-02-12,4,0,4,0,0,4
"British Columbia",2020-02-13,4,0,4,0,0,4
"British Columbia",2020-02-14,4,0,4,0,0,4
"British Columbia",2020-02-15,4,0,4,0,0,4
"British Columbia",2020-02-16,4,0,5,0,0,5
"British Columbia",2020-02-17,5,0,5,0,0,5
"British Columbia",2020-02-18,5,0,5,0,0,5
"British Columbia",2020-02-19,5,0,5,0,0,5
"British Columbia",2020-02-20,5,0,5,0,0,5
"British Columbia",2020-02-21,6,0,6,0,0,6
"British Columbia",2020-02-22,6,0,6,0,0,6
"British Columbia",2020-02-23,6,0,6,0,0,6
"British Columbia",2020-02-24,6,0,6,0,0,6
"British Columbia",2020-02-25,7,0,7,0,0,7
"British Columbia",2020-02-26,7,0,7,0,0,7
"British Columbia",2020-02-27,7,0,7,0,0,7
"British Columbia",2020-02-28,7,0,7,0,0,7
"British Columbia",2020-02-29,8,0,7,0,0,7
"British Columbia",2020-03-01,8,0,8,0,0,8
"British Columbia",2020-03-02,8,0,8,0,0,8
"British Columbia",2020-03-03,9,0,12,0,0,12
"British Columbia",2020-03-04,12,0,12,0,0,12
"British Columbia",2020-03-05,13,0,21,0,0,21
"British Columbia",2020-03-06,21,0,21,0,0,21
"British Columbia",2020-03-07,21,0,27,0,0,27
"British Columbia",2020-03-08,27,0,27,0,0,27
"British Columbia",2020-03-09,32,1,32,0,0,32
"British Columbia",2020-03-10,32,1,32,0,0,32
"British Columbia",2020-03-11,39,1,39,0,0,39
"British Columbia",2020-03-12,46,1,46,0,0,46
"British Columbia",2020-03-13,64,1,53,0,0,53
"British Columbia",2020-03-14,64,1,64,0,0,64
"British Columbia",2020-03-15,73,1,73,0,0,73
"British Columbia",2020-03-16,103,4,73,0,0,73
"British Columbia",2020-03-17,103,4,103,0,0,103
"British Columbia",2020-03-18,186,7,186,0,0,186
"British Columbia",2020-03-19,231,7,271,0,0,271
"British Columbia",2020-03-20,271,8,271,0,8,271
"British Columbia",2020-03-21,424,10,424,0,10,424
"British Columbia",2020-03-22,424,10,424,0,10,424
"British Columbia",2020-03-23,472,13,472,0,13,472
"British Columbia",2020-03-24,617,13,617,0,13,617
"British Columbia",2020-03-25,617,13,659,0,14,659
"British Columbia",2020-03-26,725,14,725,0,14,725
"British Columbia",2020-03-27,725,14,725,0,14,725
"British Columbia",2020-03-28,884,17,884,0,16,884
"British Columbia",2020-03-29,884,17,884,0,17,884
"British Columbia",2020-03-30,970,19,960,0,19,960
"British Columbia",2020-03-31,1013,24,970,0,19,970
"British Columbia",2020-04-01,1013,24,1066,0,25,1066
"British Columbia",2020-04-02,1121,31,1121,0,31,1121
"British Columbia",2020-04-03,1174,31,1174,0,35,1174
"British Columbia",2020-04-04,1203,38,1203,0,38,1203
"British Columbia",2020-04-05,1203,38,1203,0,38,1203
"British Columbia",2020-04-06,1266,38,1266,0,39,1266
"British Columbia",2020-04-07,1266,39,1291,0,43,1291
"British Columbia",2020-04-08,1291,43,1336,0,48,1336
"British Columbia",2020-04-09,1336,48,1370,0,50,1370
"British Columbia",2020-04-10,1370,50,1410,0,55,1410
"British Columbia",2020-04-11,1445,58,1445,0,58,1445
"British Columbia",2020-04-12,1445,58,1445,0,58,1445
"British Columbia",2020-04-13,1490,69,1490,0,69,1490
"British Columbia",2020-04-14,1490,69,1517,0,72,1517
"British Columbia",2020-04-15,1517,72,1561,0,75,1561
"British Columbia",2020-04-16,1561,75,1561,0,75,1561
"British Columbia",2020-04-17,1575,77,1575,0,77,1575
"British Columbia",2020-04-18,1618,78,1618,0,78,1618
"British Columbia",2020-04-19,1647,81,1618,0,78,1618
"British Columbia",2020-04-20,1647,82,1699,0,86,1699
"British Columbia",2020-04-21,1724,87,1724,0,87,1724
"British Columbia",2020-04-22,1795,90,1795,0,90,1795
"British Columbia",2020-04-23,1824,94,1824,0,94,1824
"British Columbia",2020-04-24,1853,98,1853,0,98,1853
"British Columbia",2020-04-25,1948,100,1948,0,100,1948
"British Columbia",2020-04-26,1948,100,1948,0,100,1948
"British Columbia",2020-04-27,1998,104,1998,0,103,1998
"British Columbia",2020-04-28,2053,106,2053,0,105,2053
"British Columbia",2020-04-29,2087,109,2087,0,109,2087
"British Columbia",2020-04-30,2112,111,2112,0,111,2112
"British Columbia",2020-05-01,2145,112,2145,0,112,2145
"British Columbia",2020-05-02,2171,114,2171,0,114,2171
"British Columbia",2020-05-03,2171,114,2171,0,114,2171
"British Columbia",2020-05-04,2224,117,2224,0,117,2224
"British Columbia",2020-05-05,2232,121,2232,0,121,2232
"British Columbia",2020-05-06,2255,124,2255,0,124,2255
"British Columbia",2020-05-07,2288,126,2288,0,126,2288
"British Columbia",2020-05-08,2315,127,2315,0,127,2315
"British Columbia",2020-05-09,2330,129,2330,0,129,2330
"British Columbia",2020-05-10,0,0,2330,0,129,2330
"Canada",2019-12-31,0,0,0,0,0,0
"Canada",2020-01-01,0,0,0,0,0,0
"Canada",2020-01-02,0,0,0,0,0,0
"Canada",2020-01-03,0,0,0,0,0,0
"Canada",2020-01-04,0,0,0,0,0,0
"Canada",2020-01-05,0,0,0,0,0,0
"Canada",2020-01-06,0,0,0,0,0,0
"Canada",2020-01-07,0,0,0,0,0,0
"Canada",2020-01-08,0,0,0,0,0,0
"Canada",2020-01-09,0,0,0,0,0,0
"Canada",2020-01-10,0,0,0,0,0,0
"Canada",2020-01-11,0,0,0,0,0,0
"Canada",2020-01-12,0,0,0,0,0,0
"Canada",2020-01-13,0,0,0,0,0,0
"Canada",2020-01-14,0,0,0,0,0,0
"Canada",2020-01-15,0,0,0,0,0,0
"Canada",2020-01-16,0,0,0,0,0,0
"Canada",2020-01-17,0,0,0,0,0,0
"Canada",2020-01-18,0,0,0,0,0,0
"Canada",2020-01-19,0,0,0,0,0,0
"Canada",2020-01-20,0,0,0,0,0,0
"Canada",2020-01-21,0,0,0,0,0,0
"Canada",2020-01-22,0,0,0,0,0,0
"Canada",2020-01-23,0,0,0,0,0,0
"Canada",2020-01-24,0,0,0,0,0,0
"Canada",2020-01-25,0,0,0,0,0,0
"Canada",2020-01-26,0,0,0,0,0,0
"Canada",2020-01-27,0,0,0,0,0,0
"Canada",2020-01-28,0,0,0,0,0,0
"Canada",2020-01-29,0,0,0,0,0,0
"Canada",2020-01-30,0,0,0,0,0,0
"Canada",2020-01-31,0,0,4,0,0,4
"Canada",2020-02-01,0,0,4,0,0,4
"Canada",2020-02-02,0,0,4,0,0,4
"Canada",2020-02-03,0,0,4,0,0,4
"Canada",2020-02-04,0,0,4,0,0,4
"Canada",2020-02-05,0,0,4,0,0,4
"Canada",2020-02-06,0,0,4,0,0,4
"Canada",2020-02-07,0,0,4,0,0,4
"Canada",2020-02-08,0,0,7,0,0,7
"Canada",2020-02-09,0,0,7,0,0,7
"Canada",2020-02-10,0,0,7,0,0,7
"Canada",2020-02-11,0,0,7,0,0,7
"Canada",2020-02-12,0,0,7,0,0,7
"Canada",2020-02-13,0,0,7,0,0,7
"Canada",2020-02-14,0,0,7,0,0,7
"Canada",2020-02-15,0,0,7,0,0,7
"Canada",2020-02-16,0,0,8,0,0,8
"Canada",2020-02-17,0,0,8,0,0,8
"Canada",2020-02-18,0,0,8,0,0,8
"Canada",2020-02-19,0,0,8,0,0,8
"Canada",2020-02-20,0,0,8,0,0,8
"Canada",2020-02-21,0,0,9,0,0,9
"Canada",2020-02-22,0,0,9,0,0,9
"Canada",2020-02-23,0,0,9,0,0,9
"Canada",2020-02-24,0,0,10,0,0,10
"Canada",2020-02-25,0,0,11,0,0,11
"Canada",2020-02-26,0,0,12,0,0,12
"Canada",2020-02-27,0,0,13,0,0,13
"Canada",2020-02-28,0,0,13,0,0,13
"Canada",2020-02-29,0,0,15,0,0,15
"Canada",2020-03-01,0,0,24,0,0,24
"Canada",2020-03-02,0,0,24,0,0,24
"Canada",2020-03-03,0,0,33,0,0,33
"Canada",2020-03-04,0,0,33,0,0,33
"Canada",2020-03-05,0,0,45,0,0,45
"Canada",2020-03-06,0,0,51,0,0,51
"Canada",2020-03-07,0,0,57,0,0,57
"Canada",2020-03-08,0,0,62,0,0,62
"Canada",2020-03-09,0,0,77,0,0,77
"Canada",2020-03-10,0,0,77,0,0,77
"Canada",2020-03-11,0,0,103,0,0,103
"Canada",2020-03-12,0,0,138,3,0,141
"Canada",2020-03-13,0,0,176,3,0,179
"Canada",2020-03-14,0,0,193,6,0,199
"Canada",2020-03-15,0,0,249,6,0,253
"Canada",2020-03-16,0,0,324,17,0,341
"Canada",2020-03-17,0,0,424,17,0,440
"Canada",2020-03-18,0,0,569,28,0,597
"Canada",2020-03-19,0,0,846,28,0,873
"Canada",2020-03-20,0,0,971,33,12,1004
"Canada",2020-03-21,0,0,1302,69,18,1371
"Canada",2020-03-22,0,0,1430,69,20,1471
"Canada",2020-03-23,0,0,1646,445,24,2091
"Canada",2020-03-24,0,0,1959,833,27,2792
"Canada",2020-03-25,0,0,3385,833,35,3409
"Canada",2020-03-26,0,0,4018,833,39,4043
"Canada",2020-03-27,0,0,4675,833,53,4689
"Canada",2020-03-28,0,0,5386,833,59,5425
"Canada",2020-03-29,0,0,6255,833,61,6258
"Canada",2020-03-30,0,0,7424,833,89,7437
"Canada",2020-03-31,0,0,8536,833,96,8548
"Canada",2020-04-01,0,0,9595,833,109,9613
"Canada",2020-04-02,0,0,11268,833,138,11283
"Canada",2020-04-03,0,0,12519,833,187,12537
"Canada",2020-04-04,0,0,13882,833,231,13904
"Canada",2020-04-05,0,0,15496,833,280,15512
"Canada",2020-04-06,0,0,16653,833,323,16667
"Canada",2020-04-07,0,0,17883,833,380,17897
"Canada",2020-04-08,0,0,19274,833,435,19289
"Canada",2020-04-09,0,0,20748,833,509,20765
"Canada",2020-04-10,0,0,22133,833,569,22148
"Canada",2020-04-11,0,0,23301,833,653,23318
"Canada",2020-04-12,0,0,24365,833,717,24383
"Canada",2020-04-13,0,0,25663,833,780,25680
"Canada",2020-04-14,0,0,27046,833,903,27063
"Canada",2020-04-15,0,0,28364,833,1010,28381
"Canada",2020-04-16,0,0,30081,833,1193,30092
"Canada",2020-04-17,0,0,31872,833,1309,31884
"Canada",2020-04-18,0,0,33341,833,1467,33354
"Canada",2020-04-19,0,0,34777,833,1580,34786
"Canada",2020-04-20,0,0,36823,833,1690,36831
"Canada",2020-04-21,0,0,38413,833,1834,38422
"Canada",2020-04-22,0,0,40179,833,1974,40190
"Canada",2020-04-23,0,0,42099,833,2146,42110
"Canada",2020-04-24,0,0,43877,833,2302,43888
"Canada",2020-04-25,0,0,45341,833,2465,45354
"Canada",2020-04-26,0,0,46884,833,2560,46895
"Canada",2020-04-27,0,0,48489,833,2707,48500
"Canada",2020-04-28,0,0,50015,833,2859,50026
"Canada",2020-04-29,0,0,51587,833,2996,51597
"Canada",2020-04-30,0,0,53236,833,3184,53236
"Canada",2020-05-01,0,0,55061,833,3391,55061
"Canada",2020-05-02,0,0,56714,833,3566,56714
"Canada",2020-05-03,0,0,59474,833,3682,59474
"Canada",2020-05-04,0,0,60772,833,3854,60772
"Canada",2020-05-05,0,0,62046,833,4043,62046
"Canada",2020-05-06,0,0,63496,833,4232,63496
"Canada",2020-05-07,0,0,64922,833,4408,64922
"Canada",2020-05-08,0,0,66434,833,4569,66434
"Canada",2020-05-09,0,0,67702,833,4693,67702
"Canada",2020-05-10,0,0,68848,833,4871,68848
"Diamond Princess",2020-01-22,0,0,0,0,0,0
"Diamond Princess",2020-01-23,0,0,0,0,0,0
"Diamond Princess",2020-01-24,0,0,0,0,0,0
"Diamond Princess",2020-01-25,0,0,0,0,0,0
"Diamond Princess",2020-01-26,0,0,0,0,0,0
"Diamond Princess",2020-01-27,0,0,0,0,0,0
"Diamond Princess",2020-01-28,0,0,0,0,0,0
"Diamond Princess",2020-01-29,0,0,0,0,0,0
"Diamond Princess",2020-01-30,0,0,0,0,0,0
"Diamond Princess",2020-01-31,0,0,0,0,0,0
"Diamond Princess",2020-02-01,0,0,0,0,0,0
"Diamond Princess",2020-02-02,0,0,0,0,0,0
"Diamond Princess",2020-02-03,0,0,0,0,0,0
"Diamond Princess",2020-02-04,0,0,0,0,0,0
"Diamond Princess",2020-02-05,0,0,0,0,0,0
"Diamond Princess",2020-02-06,0,0,0,0,0,0
"Diamond Princess",2020-02-07,0,0,0,0,0,0
"Diamond Princess",2020-02-08,0,0,0,0,0,0
"Diamond Princess",2020-02-09,0,0,0,0,0,0
"Diamond Princess",2020-02-10,0,0,0,0,0,0
"Diamond Princess",2020-02-11,0,0,0,0,0,0
"Diamond Princess",2020-02-12,0,0,0,0,0,0
"Diamond Princess",2020-02-13,0,0,0,0,0,0
"Diamond Princess",2020-02-14,0,0,0,0,0,0
"Diamond Princess",2020-02-15,0,0,0,0,0,0
"Diamond Princess",2020-02-16,0,0,0,0,0,0
"Diamond Princess",2020-02-17,0,0,0,0,0,0
"Diamond Princess",2020-02-18,0,0,0,0,0,0
"Diamond Princess",2020-02-19,0,0,0,0,0,0
"Diamond Princess",2020-02-20,0,0,0,0,0,0
"Diamond Princess",2020-02-21,0,0,0,0,0,0
"Diamond Princess",2020-02-22,0,0,0,0,0,0
"Diamond Princess",2020-02-23,0,0,0,0,0,0
"Diamond Princess",2020-02-24,0,0,0,0,0,0
"Diamond Princess",2020-02-25,0,0,0,0,0,0
"Diamond Princess",2020-02-26,0,0,0,0,0,0
"Diamond Princess",2020-02-27,0,0,0,0,0,0
"Diamond Princess",2020-02-28,0,0,0,0,0,0
"Diamond Princess",2020-02-29,0,0,0,0,0,0
"Diamond Princess",2020-03-01,0,0,0,0,0,0
"Diamond Princess",2020-03-02,0,0,0,0,0,0
"Diamond Princess",2020-03-03,0,0,0,0,0,0
"Diamond Princess",2020-03-04,0,0,0,0,0,0
"Diamond Princess",2020-03-05,0,0,0,0,0,0
"Diamond Princess",2020-03-06,0,0,0,0,0,0
"Diamond Princess",2020-03-07,0,0,0,0,0,0
"Diamond Princess",2020-03-08,0,0,0,0,0,0
"Diamond Princess",2020-03-09,0,0,0,0,0,0
"Diamond Princess",2020-03-10,0,0,0,0,0,0
"Diamond Princess",2020-03-11,0,0,0,0,0,0
"Diamond Princess",2020-03-12,0,0,0,0,0,0
"Diamond Princess",2020-03-13,0,0,0,0,0,0
"Diamond Princess",2020-03-14,0,0,0,0,0,0
"Diamond Princess",2020-03-15,0,0,0,0,0,0
"Diamond Princess",2020-03-16,0,0,0,0,0,0
"Diamond Princess",2020-03-17,0,0,0,0,0,0
"Diamond Princess",2020-03-18,0,0,0,0,0,0
"Diamond Princess",2020-03-19,0,0,0,0,0,0
"Diamond Princess",2020-03-20,0,0,0,0,0,0
"Diamond Princess",2020-03-21,0,0,0,0,0,0
"Diamond Princess",2020-03-22,0,1,0,0,0,0
"Diamond Princess",2020-03-23,0,1,0,0,0,0
"Diamond Princess",2020-03-24,0,1,0,0,0,0
"Diamond Princess",2020-03-25,0,1,0,0,0,0
"Diamond Princess",2020-03-26,0,1,0,0,0,0
"Diamond Princess",2020-03-27,0,1,0,0,0,0
"Diamond Princess",2020-03-28,0,1,0,0,0,0
